series,device,wikiVersion,element,sizeList,styleRefresh,styleRefreshFilter,mainRefresh,mainRefreshFilter,mainRender,mainRenderFilter
1,A,original,search “story river”,40,56,33,1451,710,NA,NA
1,A,original,search “story river”,40,32,19,1355,644,NA,NA
1,A,original,search “story river”,40,25,18,1196,636,NA,NA
1,A,original,search “story river”,40,32,17,1367,651,NA,NA
1,A,original,search “story river”,40,26,18,1157,618,NA,NA
1,A,original,search “story river”,40,32,18,1354,646,NA,NA
1,A,original,search “story river”,40,27,19,1165,617,NA,NA
1,A,original,search “story river”,40,32,18,1374,649,NA,NA
1,A,original,search “story river”,40,40,24,1205,642,NA,NA
1,A,original,search “story river”,40,44,23,1456,653,NA,NA
1,A,original,search “brain”,104,57,33,2272,771,NA,NA
1,A,original,search “brain”,104,30,18,2267,718,NA,NA
1,A,original,search “brain”,104,30,18,2370,721,NA,NA
1,A,original,search “brain”,104,29,18,2361,716,NA,NA
1,A,original,search “brain”,104,24,17,1863,660,NA,NA
1,A,original,search “brain”,104,24,18,1745,628,NA,NA
1,A,original,search “brain”,104,30,18,2289,698,NA,NA
1,A,original,search “brain”,104,25,17,1811,620,NA,NA
1,A,original,search “brain”,104,25,19,1737,616,NA,NA
1,A,original,search “brain”,104,29,18,2432,744,NA,NA
1,A,original,search “widget”,488,24,17,3409,748,NA,NA
1,A,original,search “widget”,488,29,17,4100,832,NA,NA
1,A,original,search “widget”,488,26,17,3285,726,NA,NA
1,A,original,search “widget”,488,56,32,4173,893,NA,NA
1,A,original,search “widget”,488,30,18,4109,830,NA,NA
1,A,original,search “widget”,488,25,17,3255,733,NA,NA
1,A,original,search “widget”,488,57,30,5366,979,NA,NA
1,A,original,search “widget”,488,29,17,3904,867,NA,NA
1,A,original,search “widget”,488,24,17,3445,751,NA,NA
1,A,original,search “widget”,488,24,18,3436,776,NA,NA
2,A,original,search “plugin”,682,55,31,2384,715,NA,NA
2,A,original,search “plugin”,682,32,18,2319,600,NA,NA
2,A,original,search “plugin”,682,57,31,2432,685,NA,NA
2,A,original,search “plugin”,682,32,18,2371,627,NA,NA
2,A,original,search “plugin”,682,25,17,2058,573,NA,NA
2,A,original,search “plugin”,682,24,17,1883,513,NA,NA
2,A,original,search “plugin”,682,33,17,2372,606,NA,NA
2,A,original,search “plugin”,682,26,18,1971,560,NA,NA
2,A,original,search “plugin”,682,24,17,1824,532,NA,NA
2,A,original,search “plugin”,682,31,18,2298,594,NA,NA
2,A,original,search “widget”,488,26,18,1987,554,NA,NA
2,A,original,search “widget”,488,31,18,2365,587,NA,NA
2,A,original,search “widget”,488,25,17,1956,524,NA,NA
2,A,original,search “widget”,488,23,17,1821,506,NA,NA
2,A,original,search “widget”,488,31,17,2393,598,NA,NA
2,A,original,search “widget”,488,24,17,1894,517,NA,NA
2,A,original,search “widget”,488,24,18,1814,519,NA,NA
2,A,original,search “widget”,488,53,29,2424,659,NA,NA
2,A,original,search “widget”,488,25,17,1927,540,NA,NA
2,A,original,search “widget”,488,23,17,1827,521,NA,NA
2,A,original,search “story river”,40,24,16,713,450,NA,NA
2,A,original,search “story river”,40,26,19,724,457,NA,NA
2,A,original,search “story river”,40,22,17,642,423,NA,NA
2,A,original,search “story river”,40,33,18,949,509,NA,NA
2,A,original,search “story river”,40,26,18,797,461,NA,NA
2,A,original,search “story river”,40,28,21,743,466,NA,NA
2,A,original,search “story river”,40,24,17,753,471,NA,NA
2,A,original,search “story river”,40,27,21,733,473,NA,NA
2,A,original,search “story river”,40,23,17,678,439,NA,NA
2,A,original,search “story river”,40,56,32,958,533,NA,NA
2,A,original,search “brain”,104,24,17,1186,487,NA,NA
2,A,original,search “brain”,104,24,17,1092,499,NA,NA
2,A,original,search “brain”,104,23,17,1014,471,NA,NA
2,A,original,search “brain”,104,29,18,1321,513,NA,NA
2,A,original,search “brain”,104,30,18,1352,513,NA,NA
2,A,original,search “brain”,104,25,18,1225,523,NA,NA
2,A,original,search “brain”,104,23,17,1052,479,NA,NA
2,A,original,search “brain”,104,23,18,1115,476,NA,NA
2,A,original,search “brain”,104,23,18,992,472,NA,NA
2,A,original,search “brain”,104,37,21,1361,522,NA,NA
2,A,original,search “tiddlywiki”,1703,24,17,2163,629,NA,NA
2,A,original,search “tiddlywiki”,1703,24,17,1993,637,NA,NA
2,A,original,search “tiddlywiki”,1703,24,17,1811,589,NA,NA
2,A,original,search “tiddlywiki”,1703,30,18,2756,698,NA,NA
2,A,original,search “tiddlywiki”,1703,25,17,2013,599,NA,NA
2,A,original,search “tiddlywiki”,1703,29,18,2349,663,NA,NA
2,A,original,search “tiddlywiki”,1703,29,18,2379,662,NA,NA
2,A,original,search “tiddlywiki”,1703,24,17,1991,607,NA,NA
2,A,original,search “tiddlywiki”,1703,23,17,1907,598,NA,NA
2,A,original,search “tiddlywiki”,1703,55,30,2416,720,NA,NA
2,A,original,open tiddler CommunityWikis,56,29,20,2095,701,NA,NA
2,A,original,open tiddler CommunityWikis,56,28,21,1900,692,NA,NA
2,A,original,open tiddler CommunityWikis,56,25,19,1848,680,NA,NA
2,A,original,open tiddler CommunityWikis,56,30,19,2077,704,NA,NA
2,A,original,open tiddler CommunityWikis,56,33,21,2128,704,NA,NA
2,A,original,open tiddler CommunityWikis,56,24,18,1947,753,NA,NA
2,A,original,open tiddler CommunityWikis,56,30,18,2231,724,NA,NA
2,A,original,open tiddler CommunityWikis,56,28,22,1857,705,NA,NA
2,A,original,open tiddler CommunityWikis,56,28,21,1800,688,NA,NA
2,A,original,open tiddler CommunityWikis,56,34,22,2160,707,NA,NA
2,A,original,open tiddler CommunityAuthors,21,42,21,2268,895,NA,NA
2,A,original,open tiddler CommunityAuthors,21,33,21,2386,896,NA,NA
2,A,original,open tiddler CommunityAuthors,21,26,20,2136,853,NA,NA
2,A,original,open tiddler CommunityAuthors,21,28,22,2069,841,NA,NA
2,A,original,open tiddler CommunityAuthors,21,32,21,2527,895,NA,NA
2,A,original,open tiddler CommunityAuthors,21,24,18,2051,867,NA,NA
2,A,original,open tiddler CommunityAuthors,21,27,21,1998,848,NA,NA
2,A,original,open tiddler CommunityAuthors,21,58,32,2434,945,NA,NA
2,A,original,open tiddler CommunityAuthors,21,32,20,2319,891,NA,NA
2,A,original,open tiddler CommunityAuthors,21,25,18,2288,903,NA,NA
2,A,original,open tiddler CommunityTags,1341,27,20,12229,668,NA,NA
2,A,original,open tiddler CommunityTags,1341,29,18,12514,686,NA,NA
2,A,original,open tiddler CommunityTags,1341,26,20,11456,612,NA,NA
2,A,original,open tiddler CommunityTags,1341,57,32,12391,752,NA,NA
2,A,original,open tiddler CommunityTags,1341,39,26,12825,730,NA,NA
2,A,original,open tiddler CommunityTags,1341,28,21,12314,623,NA,NA
2,A,original,open tiddler CommunityTags,1341,58,33,12437,738,NA,NA
2,A,original,open tiddler CommunityTags,1341,32,18,12364,674,NA,NA
2,A,original,open tiddler CommunityTags,1341,27,19,11786,599,NA,NA
2,A,original,open tiddler CommunityTags,1341,59,32,12450,742,NA,NA
2,A,original,reloading wiki,NA,56,32,449,401,1097,508
2,A,original,reloading wiki,NA,51,29,459,412,1262,535
2,A,original,reloading wiki,NA,52,28,449,399,1281,523
2,A,original,reloading wiki,NA,51,27,444,397,1263,513
2,A,original,reloading wiki,NA,52,28,445,397,1271,529
2,A,original,reloading wiki,NA,52,28,445,398,1263,528
2,A,original,reloading wiki,NA,52,29,446,398,1270,522
2,A,original,reloading wiki,NA,52,29,445,399,1276,524
2,A,original,reloading wiki,NA,51,28,449,401,1265,525
2,A,original,reloading wiki,NA,51,29,445,398,1263,513
2,A,vanilla,reloading wiki,NA,49,28,430,385,1230,588
2,A,vanilla,reloading wiki,NA,50,29,445,400,1267,521
2,A,vanilla,reloading wiki,NA,50,28,448,403,1272,611
2,A,vanilla,reloading wiki,NA,50,28,452,407,1265,611
2,A,vanilla,reloading wiki,NA,50,28,447,401,1268,637
2,A,vanilla,reloading wiki,NA,52,30,445,399,1256,519
2,A,vanilla,reloading wiki,NA,51,29,445,399,1264,617
2,A,vanilla,reloading wiki,NA,50,28,452,404,1291,617
2,A,vanilla,reloading wiki,NA,51,30,445,400,1288,636
2,A,vanilla,reloading wiki,NA,51,29,454,405,1280,646
2,A,vanilla,open tiddler CommunityWikis,56,64,41,2431,939,NA,NA
2,A,vanilla,open tiddler CommunityWikis,56,44,35,2260,865,NA,NA
2,A,vanilla,open tiddler CommunityWikis,56,33,20,2308,841,NA,NA
2,A,vanilla,open tiddler CommunityWikis,56,29,21,2034,830,NA,NA
2,A,vanilla,open tiddler CommunityWikis,56,29,22,2032,864,NA,NA
2,A,vanilla,open tiddler CommunityWikis,56,33,20,2430,839,NA,NA
2,A,vanilla,open tiddler CommunityWikis,56,27,20,2008,835,NA,NA
2,A,vanilla,open tiddler CommunityWikis,56,28,21,1935,803,NA,NA
2,A,vanilla,open tiddler CommunityWikis,56,27,21,1910,812,NA,NA
2,A,vanilla,open tiddler CommunityWikis,56,27,21,1923,819,NA,NA
2,A,vanilla,search “widget”,488,26,19,2264,629,NA,NA
2,A,vanilla,search “widget”,488,32,19,2452,634,NA,NA
2,A,vanilla,search “widget”,488,26,19,2001,556,NA,NA
2,A,vanilla,search “widget”,488,33,20,2382,631,NA,NA
2,A,vanilla,search “widget”,488,28,19,2048,578,NA,NA
2,A,vanilla,search “widget”,488,26,19,2036,599,NA,NA
2,A,vanilla,search “widget”,488,58,35,2511,737,NA,NA
2,A,vanilla,search “widget”,488,33,19,2408,638,NA,NA
2,A,vanilla,search “widget”,488,27,20,2014,580,NA,NA
2,A,vanilla,search “widget”,488,25,19,1924,548,NA,NA
2,A,search-no-count,search “brain”,104,32,20,1336,491,NA,NA
2,A,search-no-count,search “brain”,104,29,22,1171,450,NA,NA
2,A,search-no-count,search “brain”,104,32,20,1358,493,NA,NA
2,A,search-no-count,search “brain”,104,32,20,1339,500,NA,NA
2,A,search-no-count,search “brain”,104,29,21,1192,461,NA,NA
2,A,search-no-count,search “brain”,104,25,19,1019,441,NA,NA
2,A,search-no-count,search “brain”,104,25,19,1094,435,NA,NA
2,A,search-no-count,search “brain”,104,60,34,1424,549,NA,NA
2,A,search-no-count,search “brain”,104,28,20,1211,502,NA,NA
2,A,search-no-count,search “brain”,104,25,19,1019,442,NA,NA
2,A,search-no-count,search “widget”,488,25,20,1878,513,NA,NA
2,A,search-no-count,search “widget”,488,56,31,2506,651,NA,NA
2,A,search-no-count,search “widget”,488,28,19,1956,515,NA,NA
2,A,search-no-count,search “widget”,488,26,20,1789,489,NA,NA
2,A,search-no-count,search “widget”,488,27,19,2024,534,NA,NA
2,A,search-no-count,search “widget”,488,26,19,1819,500,NA,NA
2,A,search-no-count,search “widget”,488,25,19,1907,536,NA,NA
2,A,search-no-count,search “widget”,488,32,20,2333,574,NA,NA
2,A,search-no-count,search “widget”,488,26,19,1914,501,NA,NA
2,A,search-no-count,search “widget”,488,26,19,1872,509,NA,NA
2,A,search-no-count,search “plugin”,682,59,34,2408,644,NA,NA
2,A,search-no-count,search “plugin”,682,34,22,2335,579,NA,NA
2,A,search-no-count,search “plugin”,682,25,19,1909,509,NA,NA
2,A,search-no-count,search “plugin”,682,60,34,2396,649,NA,NA
2,A,search-no-count,search “plugin”,682,32,20,2300,576,NA,NA
2,A,search-no-count,search “plugin”,682,33,20,2337,587,NA,NA
2,A,search-no-count,search “plugin”,682,29,22,1898,505,NA,NA
2,A,search-no-count,search “plugin”,682,29,23,1881,500,NA,NA
2,A,search-no-count,search “plugin”,682,31,20,2338,581,NA,NA
2,A,search-filter-no-issystem,search “brain”,104,25,18,1218,484,NA,NA
2,A,search-filter-no-issystem,search “brain”,104,26,18,1029,473,NA,NA
2,A,search-filter-no-issystem,search “brain”,104,24,18,985,462,NA,NA
2,A,search-filter-no-issystem,search “brain”,104,32,18,1350,510,NA,NA
2,A,search-filter-no-issystem,search “brain”,104,25,18,1274,532,NA,NA
2,A,search-filter-no-issystem,search “brain”,104,25,18,1030,458,NA,NA
2,A,search-filter-no-issystem,search “brain”,104,24,17,1107,458,NA,NA
2,A,search-filter-no-issystem,search “brain”,104,25,19,975,450,NA,NA
2,A,search-filter-no-issystem,search “brain”,104,35,22,1357,513,NA,NA
2,A,search-filter-no-issystem,search “brain”,104,28,18,1204,510,NA,NA
2,A,search-filter-no-issystem,search “widget”,488,25,18,1849,537,NA,NA
2,A,search-filter-no-issystem,search “widget”,488,27,21,1844,514,NA,NA
2,A,search-filter-no-issystem,search “widget”,488,63,36,2511,671,NA,NA
2,A,search-filter-no-issystem,search “widget”,488,28,18,2008,542,NA,NA
2,A,search-filter-no-issystem,search “widget”,488,24,18,1779,516,NA,NA
2,A,search-filter-no-issystem,search “widget”,488,32,18,2371,596,NA,NA
2,A,search-filter-no-issystem,search “widget”,488,32,18,2342,595,NA,NA
2,A,search-filter-no-issystem,search “widget”,488,25,17,1932,520,NA,NA
2,A,search-filter-no-issystem,search “widget”,488,24,18,1816,527,NA,NA
2,A,search-filter-no-issystem,search “widget”,488,32,19,2296,643,NA,NA
2,A,search-filter-no-issystem,search “plugin”,682,24,18,1824,540,NA,NA
2,A,search-filter-no-issystem,search “plugin”,682,25,18,2054,591,NA,NA
2,A,search-filter-no-issystem,search “plugin”,682,24,18,1845,515,NA,NA
2,A,search-filter-no-issystem,search “plugin”,682,24,17,1813,512,NA,NA
2,A,search-filter-no-issystem,search “plugin”,682,31,18,2328,603,NA,NA
2,A,search-filter-no-issystem,search “plugin”,682,25,18,1922,534,NA,NA
2,A,search-filter-no-issystem,search “plugin”,682,26,20,1898,528,NA,NA
2,A,search-filter-no-issystem,search “plugin”,682,24,18,1807,512,NA,NA
2,A,search-filter-no-issystem,search “plugin”,682,32,18,2347,592,NA,NA
3,A,vanilla,reloading wiki,NA,54,27,361,323,1016,428
3,A,vanilla,reloading wiki,NA,58,31,400,360,1083,463
3,A,vanilla,reloading wiki,NA,58,29,372,332,1113,538
3,A,vanilla,reloading wiki,NA,64,29,396,351,1004,450
3,A,vanilla,reloading wiki,NA,57,29,477,433,1015,456
3,A,original,reloading wiki,NA,64,29,481,438,1014,448
3,A,original,reloading wiki,NA,58,28,465,339,1076,460
3,A,original,reloading wiki,NA,57,27,472,427,1007,444
3,A,original,reloading wiki,NA,63,28,480,426,1016,435
3,A,original,reloading wiki,NA,60,27,479,434,1023,451
3,A,vanilla,reloading wiki,NA,56,28,391,348,987,446
3,A,vanilla,reloading wiki,NA,59,28,385,342,1029,458
3,A,vanilla,reloading wiki,NA,58,28,392,350,1019,446
3,A,vanilla,reloading wiki,NA,57,28,382,340,1013,456
3,A,vanilla,reloading wiki,NA,56,27,392,350,1021,454
3,A,original,reloading wiki,NA,74,29,460,339,1068,459
3,A,original,reloading wiki,NA,60,30,415,356,959,430
3,A,original,reloading wiki,NA,54,26,369,326,939,421
3,A,original,reloading wiki,NA,58,28,360,320,1101,425
3,A,original,reloading wiki,NA,72,28,479,435,997,438
3,A,vanilla,open tiddler CommunityWikis,56,71,45,2377,856,NA,NA
3,A,vanilla,open tiddler CommunityWikis,56,47,35,2246,883,NA,NA
3,A,vanilla,open tiddler CommunityWikis,56,35,26,2113,814,NA,NA
3,A,vanilla,open tiddler CommunityWikis,56,62,38,2340,901,NA,NA
3,A,vanilla,open tiddler CommunityWikis,56,38,24,2275,853,NA,NA
3,A,original,open tiddler CommunityWikis,56,60,35,2224,807,NA,NA
3,A,original,open tiddler CommunityWikis,56,61,35,2317,819,NA,NA
3,A,original,open tiddler CommunityWikis,56,31,21,1917,740,NA,NA
3,A,original,open tiddler CommunityWikis,56,38,23,2181,748,NA,NA
3,A,original,open tiddler CommunityWikis,56,31,23,1988,730,NA,NA
3,A,vanilla,open tiddler CommunityWikis,56,49,35,2507,921,NA,NA
3,A,vanilla,open tiddler CommunityWikis,56,31,23,2109,817,NA,NA
3,A,vanilla,open tiddler CommunityWikis,56,31,24,1948,828,NA,NA
3,A,vanilla,open tiddler CommunityWikis,56,38,25,2314,844,NA,NA
3,A,vanilla,open tiddler CommunityWikis,56,32,24,1990,826,NA,NA
3,A,original,open tiddler CommunityWikis,56,47,32,2259,794,NA,NA
3,A,original,open tiddler CommunityWikis,56,56,31,2345,809,NA,NA
3,A,original,open tiddler CommunityWikis,56,30,21,1966,726,NA,NA
3,A,original,open tiddler CommunityWikis,56,29,22,1950,716,NA,NA
3,A,original,open tiddler CommunityWikis,56,58,33,2270,819,NA,NA
3,A,vanilla,search “widget”,488,28,22,1990,588,NA,NA
3,A,vanilla,search “widget”,488,28,22,2007,585,NA,NA
3,A,vanilla,search “widget”,488,36,23,2419,671,NA,NA
3,A,vanilla,search “widget”,488,36,23,2436,726,NA,NA
3,A,vanilla,search “widget”,488,30,23,2052,625,NA,NA
3,A,original,search “widget”,488,34,19,2406,656,NA,NA
3,A,original,search “widget”,488,33,19,2438,643,NA,NA
3,A,original,search “widget”,488,27,19,2053,684,NA,NA
3,A,original,search “widget”,488,25,19,1906,539,NA,NA
3,A,original,search “widget”,488,42,23,2382,622,NA,NA
3,A,vanilla,search “widget”,488,36,23,2380,668,NA,NA
